,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Min,Max,Min,Max,Min,Max
Description,Manufacture of food products,Manufacture of beverages,Manufacture of tobacco products,Manufacture of textiles,Manufacture of wearing apparel,Manufacture of leather and related products,"Manufacture of wood and products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",Manufacture of paper and paper products,Printing and reproduction of recorded media,Manufacture of coke and refined petroleum products,Manufacture of chemicals and chemical products,"Manufacture of pharmaceuticals, medicinal chemical and botanical products",Manufacture of rubber and plastics products,Manufacture of other non-metallic mineral products,Manufacture of basic metals,"Manufacture of fabricated metal products, except machinery and equipment","Manufacture of computer, electronic and optical products",Manufacture of electrical equipment,Manufacture of machinery and equipment n.e.c.,"Manufacture of motor vehicles, trailers and semi-trailers",Manufacture of other transport equipment,Manufacture of furniture,Other manufacturing,Mining,Manufacturing,Electricity,General,"Total, wage growth %",15-19 years,20-24 years,25-29 years,30-34 years,35-39 years,40-44 years,45-49 years,50-54 years,55-59 years,60-64 years,>=65 years,"Combined, cpi",1.1 Rural,1.2 Urban,"3. All Commodities, WPI",3.1 Primary Articles,3.2 Fuel and Power,3.3 Manufactured Products,91-day treasury bills yield during auction,91-day treasury bills yield during auction,182-day treasury bills yield during auction,182-day treasury bills yield during auction,364-day treasury bills yield during auction,364-day treasury bills yield during auction
Apr-12,97.3,134.2,105,98,94.5,104.5,89.8,99.2,87.5,96,100.4,85.2,94.7,101.7,104.1,92.2,92,93.8,98.7,110.4,93.9,98,108.5,99.1,99,103,99.3,,,,,,,,,,,,,,,,,,,,,,,,,
May-12,91.7,147.1,105.6,106.5,93.1,116.4,96.1,103.4,99.4,103.4,102.9,96.4,99.7,104.4,119.3,102.8,95.4,108.1,94.1,106.4,100.7,107.4,116.5,102.9,105,108.7,105,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-12,86.1,130.5,96.3,103.4,89.5,109.9,100.8,99,101.9,103.7,102.6,120.2,101.3,98.7,106.4,101.9,102.8,110.3,104.7,96.4,99.5,112.5,139.4,93.3,103.7,105.1,102.3,,,,,,,,,,,,,,,,,,,,,,,,,
Jul-12,88.1,93.1,96.5,108.7,87.4,108.5,106.6,104.7,94.6,105.7,104.9,119.4,103.3,99.7,109.5,86.8,107.2,109.8,94.6,96.9,98.5,105.1,116,89.8,103.3,104.6,101.5,,,,,,,,,,,,,,,,,,,,,,,,,
Aug-12,85.9,85.1,86.2,113.1,90.1,99.6,109.2,106.8,90.1,105.7,106.5,123.7,99.3,94.6,101.3,86.5,102.5,125.8,99.4,94.5,91.3,110.7,121.1,85.6,102.3,101.9,99.9,,,,,,,,,,,,,,,,,,,,,,,,,
Sep-12,84.1,82.3,97.9,110.8,89.8,105.1,104,103.2,96.8,98.1,102.6,112.2,98.8,97.7,105.3,95.2,120.2,116.1,107.6,100.6,100.1,109.1,100.2,82.5,101.9,100.3,99,,,,,,,,,,,,,,,,,,,,,,,,,
Oct-12,98.2,96,102.3,113.6,95.8,107.6,88.2,109.5,92.2,112.5,106.2,102.8,99.1,103.8,102.9,99.3,124.8,120.6,101.8,102.9,100.8,110.6,120,91.5,105.6,107.5,103.7,,,,,,,,,,,,,,,,,,,,,,,,,
Nov-12,109.2,90.2,115.3,104.3,87.4,103.9,88.6,94.7,92,108,98.7,100.5,94,93.8,104.5,84.2,78.5,98.8,97.3,89.4,93.6,102.4,86.1,89.9,99.7,99.8,98.3,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-12,132.8,91.9,117.9,111,100.8,118.6,98.5,99.6,108.2,112.1,105.5,112.2,107.5,107,109.9,96.1,85.8,112,108.1,95.5,102.2,122.2,108.3,98.9,108.8,105.5,107.1,,,,,,,,,,,,,,,,,,,,,,,,,
Jan-13,126.6,93.7,122.2,111.4,112.9,120.4,89.4,107.3,97,112.2,106.2,103.3,106.1,112.5,109.9,99.5,99.6,110.6,90.5,101.7,104.2,114.5,111.4,101.4,108.2,107.6,107.2,,,,,,,,,,,,,104.6,105.1,104,108,113.8,108.9,105.8,,,,,,
