,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Credit Card Transactions : Distribution by Bank Groups,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Net sales, real estate, %age change","Total income,  real estate,  %age change","Total income, hotel tourism,  %age change","Net sales,hotel tourism,  %age change","Total income, consumer goods","Net sales, consumer goods","Total income, automobiles","Net sales, automobiles","India, house prices",Mumbai,Delhi,Bangalore,Ahmadabad,Lucknow,Kolkata,Chennai,Jaipur,Kanpur,Kochi,,,,,,,,,
Rs. Million : June 2011 to December 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarter ended,Total Transactions,Total Transactions,Total Transactions,Total Transactions,Total Transactions,Total Transactions,Total Transactions,Total Transactions,Cash withdrawals at ATMs,Cash withdrawals at ATMs,Cash withdrawals at ATMs,Cash withdrawals at ATMs,Cash withdrawals at ATMs,Cash withdrawals at ATMs,Cash withdrawals at ATMs,Cash withdrawals at ATMs,Transactions at POS (Old),Transactions at POS (Old),Transactions at POS (Old),Transactions at POS (Old),Transactions at POS (Old),Transactions at POS (Old),Transactions at POS (Old),Transactions at POS (Old),Transactions at POS (New),Transactions at POS (New),Transactions at POS (New),Transactions at POS (New),Transactions at POS (New),Transactions at POS (New),Transactions at POS (New),Transactions at POS (New),Online (E-comm) Transactions,Online (E-comm) Transactions,Online (E-comm) Transactions,Online (E-comm) Transactions,Online (E-comm) Transactions,Online (E-comm) Transactions,Online (E-comm) Transactions,Online (E-comm) Transactions,Others Transactions,Others Transactions,Others Transactions,Others Transactions,Others Transactions,Others Transactions,Others Transactions,Others Transactions,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,Public sector banks,Public sector banks,Public sector banks,Private sector banks,Private sector banks,Private sector banks,Foreign banks,Total,Public sector banks,Public sector banks,Public sector banks,Private sector banks,Private sector banks,Private sector banks,Foreign banks,Total,Public sector banks,Public sector banks,Public sector banks,Private sector banks,Private sector banks,Private sector banks,Foreign banks,Total,Public sector banks,Public sector banks,Public sector banks,Private sector banks,Private sector banks,Private sector banks,Foreign banks,Total,Public sector banks,Public sector banks,Public sector banks,Private sector banks,Private sector banks,Private sector banks,Foreign banks,Total,Public sector banks,Public sector banks,Public sector banks,Private sector banks,Private sector banks,Private sector banks,Foreign banks,,,,,,,,,,,,,,,,,,,,Survey Round,Current Perception,,,,One year ahead Expectation,,,
,,Total,Nationalised Banks,State Bank of India group,Total,Old private sector banks,New private sector banks,,,Total,Nationalised Banks,State Bank of India group,Total,Old private sector banks,New private sector banks,,,Total,Nationalised Banks,State Bank of India group,Total,Old private sector banks,New private sector banks,,,Total,Nationalised Banks,State Bank of India group,Total,Old private sector banks,New private sector banks,,,Total,Nationalised Banks,State Bank of India group,Total,Old private sector banks,New private sector banks,,,Total,Nationalised Banks,State Bank of India group,Total,Old private sector banks,New private sector banks,,,,,,,,,,,,,,,,,,,,,,Improved,Remained Same,Worsened,Net Response,Will Improve,Will Remain Same,Will Worsen,Net Response
Jun 2011,"2,24,201.1","23,348.90","5,942.90","17,406.00","94,748.90",388.3,"94,360.50","1,06,103.5","2,926.20",852.2,570.2,282,"1,213.80",21.7,"1,192.20",860.2,"2,21,275.0","22,496.70","5,372.70","17,124.00","93,535.00",366.7,"93,168.40","1,05,243.3",,,,,,,,,,,,,,,,,,,,,,,,,4.55,7.07,14.67,14.2,22.02,20.96,18.99,18.27,115.99,122.09,126.82,110.68,121.3,118,103.03,101.16,106.27,104.68,120.87,,,,,,,,,
Sep 2011,"2,35,504.8","24,499.70","6,097.70","18,402.10","1,02,404.5",395.4,"1,02,009.1","1,08,600.6","3,059.30",939.6,642.7,296.9,"1,302.70",22,"1,280.80",816.9,"2,32,445.6","23,560.10","5,454.90","18,105.20","1,01,101.7",373.4,"1,00,728.3","1,07,783.7",,,,,,,,,,,,,,,,,,,,,,,,,7.72,6.33,12.99,11.62,15.54,15.32,14.48,13.43,119.44,131.42,124.8,107.83,130.43,123.08,105.02,110.37,109.57,106.75,104.95,,,,,,,,,
Dec 2011,"2,56,625.6","26,964.30","6,530.70","20,433.70","1,14,402.9",462,"1,13,940.8","1,15,258.4","3,234.00",893.5,583.1,310.4,"1,484.40",22.5,"1,462.00",856.1,"2,53,391.7","26,070.80","5,947.60","20,123.30","1,12,918.5",439.6,"1,12,478.9","1,14,402.3",,,,,,,,,,,,,,,,,,,,,,,,,-12.75,-5.32,9.7,7.33,18.04,17.92,13.44,13.05,125.48,122.79,136.74,138.6,137.12,131.94,103.16,110.74,108.26,108.54,103.05,,,,,,,,,
Mar 2012,"2,62,392.6","27,464.00","6,251.00","21,213.10","1,19,130.7",522,"1,18,608.6","1,15,797.9","3,376.50",959.6,589.8,369.8,"1,559.50",23.2,"1,536.30",857.5,"2,59,016.1","26,504.50","5,661.20","20,843.30","1,17,571.2",498.8,"1,17,072.3","1,14,940.4",,,,,,,,,,,,,,,,,,,,,,,,,-3.29,-8.5,21.05,8.54,17.71,17.78,15.86,15.33,134.1,143.5,158.23,133.35,141.02,129.44,106.09,108.17,108.6,114.95,97.83,,,,,,,,,
Jun 2012,"2,87,564.3","29,951.50","6,501.50","23,450.00","1,37,346.7",493.8,"1,36,852.9","1,20,266.0","3,034.70",834.3,568.7,265.6,"1,646.10",24.3,"1,621.80",554.4,"2,84,529.5","29,117.30","5,932.90","23,184.40","1,35,700.6",469.5,"1,35,231.2","1,19,711.6",,,,,,,,,,,,,,,,,,,,,,,,,-1.94,1.87,12.32,10.49,10.35,8.39,9.63,9.32,142.63,147.6,177.3,133.33,140.76,136.35,135.21,119.21,113.38,114.41,98.82,,,,,,,,,
Sep 2012,"2,92,022.7","33,935.80","7,184.10","26,751.70","1,36,291.7",508.7,"1,35,782.9","1,21,795.2","3,768.30","1,202.20",791.9,410.3,"1,722.40",23,"1,699.30",843.7,"2,88,254.4","32,733.60","6,392.20","26,341.30","1,34,569.3",485.7,"1,34,083.6","1,20,951.6",,,,,,,,,,,,,,,,,,,,,,,,,-6.77,-3.75,5.17,6.51,9.24,9.14,3.2,1.74,147.1,148.06,183.17,136.58,146.39,156.6,149.08,117.82,117.36,106.03,127.51,Sep-12,37.5,23.8,38.7,-1.2,44.4,27.7,27.8,16.6
